Category,Item,Specification/Model,Quantity,Approx. Cost (USD),Notes
Printing material,Lightweight filament,LW-PLA or LW-ASA,1 roll,35,"Rounded planning estimate; primary airframe material specified by the manual."
Printing material,Rigid filament,PC or PETG,Small amount,15,"Rounded planning estimate for rigid/reinforced printed parts."
Carbon reinforcement,Main spar carbon tube,10 mm x 1000 mm,1,12,"Approximate cost for this required length."
Carbon reinforcement,Secondary spar carbon tube,8 mm x 1000 mm,1,10,"Approximate cost for this required length."
Carbon reinforcement,Wing spar carbon tube,6 mm x 500 mm,2,10,"Approximate cost for both required pieces."
Carbon reinforcement,Aileron hinge carbon tube,3 mm x 500 mm,2,8,"Approximate cost for both required pieces."
Carbon reinforcement,V-tail spar carbon tube,8 mm x 155 mm,2,8,"Approximate cost for both required pieces."
Carbon reinforcement,V-tail spar carbon tube,6 mm x 265 mm,2,7,"Approximate cost for both required pieces."
Carbon reinforcement,Rudder hinge carbon tube,3 mm x 265 mm,2,6,"Approximate cost for both required pieces."
Fasteners,M3 threaded inserts,5 mm outside diameter x 5 mm height,15,8,"Likely purchased as a larger pack."
Fasteners,M3 screws,M3 x 6 mm,12,5,"Likely purchased as a larger pack."
Fasteners,M3 screws,M3 x 10 mm,3,3,"Likely purchased as a larger pack."
Adhesive,Thick cyanoacrylate (CA) glue,Thick formulation,1-2 tubes,8,"Planning estimate for one suitable tube."
Adhesive,CA activator,Compatible with chosen CA glue,1,7,"Planning estimate."
Adhesive,Epoxy glue,General-purpose,Small amount,8,"Optional in the manual; use only where stronger bonding is needed."
Adhesive,Hot glue,General-purpose,Small amount,5,"Optional in the manual; useful for light retention/strain relief."
Battery retention,Velcro battery straps,Reusable hook-and-loop straps,2,4,"Planning estimate."
Control linkage,Control horns,Compatible with STORK printed control surfaces,4,5,"Planning estimate for a small set."
Control linkage,Pushrods,Compatible diameter/length for STORK control surfaces,4,8,"Planning estimate for four."
Control linkage,Linkage ends/clevises,Compatible with selected pushrods and horns,4 sets,6,"Only buy if the chosen pushrods do not include them."
Assembly consumable,Sandpaper or deburring tool,Fine grit,1,4,"For cleaning printed parts and tuning fit."
FPV ground equipment,Digital FPV goggles,Walksnail Avatar Goggles L,1,240,"Ground-station equipment, not installed in the aircraft. Moved here so the onboard electronics BOM remains within the $600 funding cap."
Total,Build and ground-equipment subtotal,Excludes delivery/VAT variance and optional spare material,,422,"Rounded estimate in USD; under the $600 cap before delivery."
